method,rank,mean_rank,score,Rebound_rank,Stability_rank,GE_rank,Rebound_score,Stability_score,GE_score
Baseline,1,3.0,0.7796298402191758,5,2,2,0.6358267716535433,0.796812749003984,0.9062500000000001
CoPAL,2,3.3333333333333335,0.7613796781378422,2,7,1,0.8937007874015748,0.3904382470119522,1.0
ReAct,3,4.0,0.6981864209827359,1,3,8,1.0,0.6414342629482073,0.45312500000000006
CLARE,4,5.333333333333333,0.5742461584109756,4,9,3,0.702755905511811,0.22310756972111567,0.796875
SayCan,5,5.333333333333333,0.5443630661082703,8,5,3,0.3700787401574803,0.4661354581673307,0.796875
InnerMono,6,5.666666666666667,0.5905511811023622,9,1,7,0.2716535433070866,1.0,0.5000000000000001
AgentEvolver,7,5.666666666666667,0.4306108897742364,3,4,10,0.75,0.5418326693227091,0.0
CycleVLA,8,6.666666666666667,0.40866961942257224,7,10,3,0.42913385826771655,0.0,0.796875
Reflexion,9,7.333333333333333,0.36850514608233736,10,6,6,0.0,0.40239043824701193,0.7031250000000001
SMART-LLM,10,7.666666666666667,0.37091251137183545,6,8,9,0.5728346456692913,0.24302788844621503,0.29687500000000006
