target,episode_id,perturbation_type,stress_lambda,base_c_rec,opt_c_rec,base_windows,opt_windows,base_beta_step,opt_beta_step,base_beta,opt_beta,base_completion,opt_completion,base_success,opt_success
Rebound,79,clean,0.0,50.75787466278255,0.0,3.0,0.0,0.3452042175663842,0.4248006178273095,0.7751898773182365,0.6851774095275125,1.0,1.0,1.0,1.0
Rebound,127,clean,0.0,39.555922925885184,28.350250948731624,1.0,2.0,0.11759265760580699,0.13878148049116135,0.7429647158332849,0.6196536242799352,1.0,1.0,1.0,1.0
Rebound,78,clean,0.0,20.870742262799514,20.108749031219418,1.0,1.0,0.19437797665596007,0.23916667699813843,0.75870032455635,0.6136363636363636,1.0,1.0,1.0,1.0
Rebound,81,clean,0.0,37.089035100109925,26.333901475903545,3.0,1.0,0.41329945458306205,0.4841527044773102,0.5597915218902015,0.6676095150967086,1.0,1.0,1.0,1.0
Rebound,11,clean,0.0,84.94339544339266,14.283397158083735,1.0,1.0,0.4930656347058568,0.13225623752389637,0.6874110399576179,0.7930110267358839,1.0,1.0,1.0,1.0
Rebound,9,clean,0.0,51.49015252411424,10.799321230333362,1.0,2.0,0.31689952313899994,0.5918720258133752,0.7231696930644524,0.38772808586762075,1.0,1.0,1.0,1.0
Rebound,79,surface_rewrite,1.0,45.84755544499471,31.961162525824225,3.0,1.0,0.3452042175663842,0.4248006178273095,0.7885891831829197,0.7359272591093027,1.0,1.0,1.0,1.0
Rebound,78,surface_rewrite,1.0,18.929910138177643,17.31253525675075,1.0,1.0,0.19437797665596007,0.23916667699813843,0.6842770955737835,0.6874459567654123,1.0,1.0,1.0,1.0
Rebound,80,surface_rewrite,1.0,160.29602305476442,3.615007093526097,1.0,1.0,0.20116473486026126,0.5922462402118577,0.7956911927555159,0.5977359334038568,1.0,1.0,1.0,1.0
Rebound,11,surface_rewrite,1.0,33.29117384292267,12.06427440866978,6.0,1.0,0.4930656347058568,0.13225623752389637,0.5541105360632517,0.7622058793084323,0.6666666666666666,1.0,0.0,1.0
Stability,79,clean,0.0,46.32929257203792,0.0,3.0,0.0,0.5372340713228498,0.2815682766112414,0.8350082704078712,0.7318109215314252,1.0,1.0,1.0,1.0
Stability,78,clean,0.0,16.91855512021861,20.117964918792573,1.0,2.0,0.4049415588378906,0.2929933880056654,0.734323905206534,0.6160485943378007,1.0,1.0,1.0,1.0
Stability,81,clean,0.0,11.241645302772916,25.117677276234147,1.0,1.0,0.27843879621762496,0.1937328229347865,0.7885768694457067,0.698326359832636,1.0,1.0,1.0,1.0
Stability,80,clean,0.0,26.50406254646597,37.83408943064054,1.0,1.0,0.34144654870033264,0.11504024905817849,0.6394868813827361,0.7267772620568778,1.0,1.0,1.0,1.0
Stability,1,clean,0.0,19.57418169689693,56.00435676485179,1.0,2.0,0.24141849908563826,0.13615858554840088,0.7209897153825213,0.7070921713502971,1.0,1.0,1.0,1.0
Stability,11,clean,0.0,14.56720844463636,0.0,1.0,0.0,0.43173645918860154,0.22968581318855286,0.7320407605048145,0.7100508253359407,1.0,1.0,1.0,1.0
Stability,9,clean,0.0,10.215030118400852,51.277867137079205,3.0,7.0,0.5647245890953961,0.46175332367420197,0.496126003344187,0.49115070319257054,1.0,1.0,1.0,1.0
Stability,79,surface_rewrite,1.0,91.81077785552309,35.890496086897194,1.0,1.0,0.5372340713228498,0.2815682766112414,0.7120383231014511,0.712614839526827,0.4,1.0,0.0,1.0
Stability,78,surface_rewrite,1.0,33.253844000806254,29.054810536695022,1.0,4.0,0.4049415588378906,0.2929933880056654,0.6973764500161929,0.5995348837209302,1.0,1.0,1.0,1.0
Stability,81,surface_rewrite,1.0,50.059592657980744,13.281735524077948,3.0,1.0,0.27843879621762496,0.1937328229347865,0.7631382245918428,0.7604907862401243,1.0,1.0,1.0,1.0
Stability,80,surface_rewrite,1.0,48.30104666673749,22.997056900574137,1.0,1.0,0.34144654870033264,0.11504024905817849,0.676983758700696,0.7343032282765047,1.0,1.0,1.0,1.0
Stability,1,surface_rewrite,1.0,573.3705047045593,22.396859471102214,1.0,1.0,0.24141849908563826,0.13615858554840088,0.6041514630212155,0.7101536592161998,1.0,1.0,1.0,1.0
Stability,11,surface_rewrite,1.0,71.8437013710499,28.42991998763771,6.0,2.0,0.43173645918860154,0.22968581318855286,0.6647046273886241,0.783399079923145,1.0,1.0,1.0,1.0
Stability,9,surface_rewrite,1.0,115.24896127687225,11.628418442581866,3.0,2.0,0.5647245890953961,0.46175332367420197,0.8206812089273503,0.5824917597258173,0.0,0.0,0.0,0.0
