task_family,stress_lambda,n,completion_mean,c_rec_mean,margin_mean,success_rate
mixed_temporal,0.0,1,1.0,35.60212602669885,-1.0,1.0
mixed_temporal,0.2,1,1.0,70.02959274512007,-1.0,1.0
mixed_temporal,0.4,1,0.0,101.07013191850844,-1.0,0.0
mixed_temporal,0.6,1,1.0,41.31203556895908,-1.0,1.0
mixed_temporal,0.8,1,1.0,51.10583145822234,-1.0,1.0
mixed_temporal,1.0,1,1.0,144.7137304698755,-1.0,1.0
placement_only,0.0,10,0.8099999999999999,25.42963512592321,-1.0,0.6
placement_only,0.2,28,0.9464285714285714,41.28947310887573,-0.3259468817403296,0.9285714285714286
placement_only,0.4,28,0.8428571428571429,33.57434468344901,-0.28657439737275486,0.8214285714285714
placement_only,0.6,25,0.8253333333333334,53.44620674801121,-0.45648775295738636,0.76
placement_only,0.8,19,0.7982456140350876,57.69559084918204,-0.5253146248350952,0.7368421052631579
placement_only,1.0,19,0.8929824561403508,42.67355778863312,-0.4531429777328223,0.7894736842105263
spatial_relation,0.0,4,0.675,39.684410075886454,-1.0,0.5
spatial_relation,0.2,10,0.77,28.254472347552586,-0.49511990471601824,0.6
spatial_relation,0.4,10,0.7,48.09920859755787,-0.5928571428571429,0.6
spatial_relation,0.6,7,0.6571428571428571,41.80534975131575,-0.7593252327799329,0.42857142857142855
spatial_relation,0.8,7,0.719047619047619,30.52546864679172,-0.7448979591836735,0.42857142857142855
spatial_relation,1.0,7,0.6857142857142857,24.012277494730434,-0.8163265306122449,0.5714285714285714
