anchor_id,task_family,beta_vv,beta_out,beta_hat,beta_action,beta_progress,beta_success,n_clean,n_perturbed,clean_ref_valid,clean_ref_strategy,beta_neighborhood_valid,missing_reason,beta_scope
79,placement_only,0.0,0.7726190476190476,0.3863095238095238,0.8452380952380952,0.4,1.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
127,placement_only,0.0,0.3958333333333333,0.19791666666666666,0.75,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
78,placement_only,0.0,0.2916666666666667,0.14583333333333334,0.5833333333333334,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
60,placement_only,0.0,0.34375,0.171875,0.6875,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
81,placement_only,0.0,0.3611111111111111,0.18055555555555555,0.7222222222222222,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
80,placement_only,0.0,0.3125,0.15625,0.625,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
1,placement_only,0.0,0.35,0.175,0.7,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
11,placement_only,0.0,0.4264705882352941,0.21323529411764705,0.8529411764705882,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
9,placement_only,0.0,0.3125,0.15625,0.625,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
126,spatial_relation,0.0,0.8055555555555556,0.4027777777777778,0.8148148148148148,1.0,1.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
125,spatial_relation,0.0,0.40625,0.203125,0.75,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
129,spatial_relation,0.0,0.4222222222222222,0.2111111111111111,0.8444444444444444,0.0,0.0,1,5,True,medoid,True,,neighborhood_M=5_Pi=1
