anchor_id,episode_id,evolve_step,ge_episode_hard_boundary_hit,ge_episode_hard_gate_pass,ge_episode_margin,ge_episode_margin_hard,ge_episode_margin_soft,ge_evolve_step_e,ge_stress_lambda,missing_reasons,perturbation_seed,perturbation_type,phase_label,stress_lambda,task_family,valid
79,79,0,1,0,-0.6422913781300785,-0.6422913781300785,-0.5622865748636707,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
127,127,0,0,1,0.010521209998096914,0.010521209998096914,0.016544872060375138,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
78,78,0,0,1,0.35075473005428504,0.35075473005428504,0.3610869487328543,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
60,60,0,0,1,0.16362959342782002,0.16362959342782002,0.22121534724687386,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
81,81,0,1,0,-0.8367648389700126,-0.8367648389700126,-0.3645393330774849,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
80,80,0,1,0,-0.8606472122630453,-0.8606472122630453,-0.29032770210530834,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
1,1,0,1,0,-0.05655068118677553,-0.05655068118677553,0.043149965547720104,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
11,11,0,1,0,-0.5811756636570562,-0.5811756636570562,-0.3216245138633985,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
9,9,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.0,,0,clean,clean_reference,0.0,placement_only,1
126,126,0,1,0,-0.5676719436664265,-0.5676719436664265,-0.5355607261717542,0,0.0,,0,clean,clean_reference,0.0,spatial_relation,1
125,125,0,1,0,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0,0.0,,0,clean,clean_reference,0.0,spatial_relation,1
129,129,0,1,0,-0.5548396959278052,-0.5548396959278052,-0.3037378811942716,0,0.0,,0,clean,clean_reference,0.0,spatial_relation,1
79,79,0,1,0,-0.48228177159726304,-0.48228177159726304,-0.026855171512917275,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
127,127,0,0,1,0.010521209998096914,0.010521209998096914,0.21954631928476287,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
78,78,0,0,1,0.1219885493531212,0.1219885493531212,0.24670385838227227,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
60,60,0,1,0,-0.8306513821672945,-0.8306513821672945,-0.33351089436973724,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
81,81,0,0,1,0.10768617281504289,0.10768617281504289,0.26812880069323564,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
80,80,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
126,126,0,1,0,-1.0,-1.0,-1.0,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,spatial_relation,1
125,125,0,0,1,-0.015389462698029766,-0.015389462698029766,0.20659098293669942,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,spatial_relation,1
1,1,0,1,0,-1.0,-1.0,-1.0,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
11,11,0,1,0,-0.062073364069740844,-0.062073364069740844,0.18324903225084377,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
9,9,0,0,1,0.1835870813954077,0.1835870813954077,0.23178944472391816,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,placement_only,1
129,129,0,1,0,-0.36129272488571285,-0.36129272488571285,-0.20696439567322533,0,0.2,,0,irrelevant_perturbation,stress_sweep,0.2,spatial_relation,1
79,79,0,1,0,-0.48228177159726304,-0.48228177159726304,-0.45542660008434577,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
127,127,0,0,1,0.010521209998096914,0.010521209998096914,0.21954631928476287,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
78,78,0,0,1,0.37141916741142333,0.37141916741142333,0.39999529799142586,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
60,60,0,1,0,-0.7516020470236401,-0.7516020470236401,-0.2939862267979101,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
81,81,0,0,1,0.10768617281504289,0.10768617281504289,0.26812880069323564,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
80,80,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
126,126,0,1,0,-1.0,-1.0,-1.0,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,spatial_relation,1
1,1,0,0,1,0.14285061228221574,0.14285061228221574,0.28571102042682206,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
11,11,0,1,0,-0.062073364069740844,-0.062073364069740844,0.18324903225084377,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
9,9,0,0,1,0.2799918080524286,0.2799918080524286,0.3542816183119286,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,placement_only,1
125,125,0,1,0,-0.2857142857142857,-0.2857142857142857,-0.2857142857142857,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,spatial_relation,1
129,129,0,1,0,-0.47558917453796423,-0.47558917453796423,-0.264112620499351,0,0.4,,0,irrelevant_perturbation,stress_sweep,0.4,spatial_relation,1
79,79,0,1,0,-0.48228177159726304,-0.48228177159726304,-0.026855171512917275,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
127,127,0,0,1,0.010521209998096914,0.010521209998096914,0.21954631928476287,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
78,78,0,0,1,0.37141916741142333,0.37141916741142333,0.39999529799142586,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
60,60,0,1,0,-0.8604967262203975,-0.8604967262203975,-0.6921531250149606,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
81,81,0,0,1,0.10768617281504289,0.10768617281504289,0.26812880069323564,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
1,1,0,1,0,-0.3243420597613549,-0.3243420597613549,-0.09074572373956957,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
11,11,0,1,0,-0.062073364069740844,-0.062073364069740844,-0.01023191648092947,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
9,9,0,1,0,-0.36970363129411543,-0.36970363129411543,-0.04485591162084335,0,0.6,,0,irrelevant_perturbation,stress_sweep,0.6,placement_only,1
