Method,ProfileScore,C_rec,beta,lambda_star,SR,Comp.,Steps,C_rec_health,beta_health,lambda_star_health,SR_health,Comp._health,Steps_health
Baseline,0.7796298402191758,25.0,0.2,0.79,53.0,69.7,3671.0,0.6358267716535433,0.7968127490039841,0.9062500000000001,0.885057471264368,0.8172413793103449,0.7066466766616691
CoPAL,0.7613796781378422,11.9,0.302,0.85,55.8,72.6,4846.0,0.8937007874015748,0.3904382470119523,1.0,0.9655172413793103,0.9172413793103447,0.11944027986006997
ReAct,0.6981864209827359,6.5,0.239,0.5,38.5,57.8,3374.0,1.0,0.6414342629482073,0.45312500000000006,0.4683908045977012,0.40689655172413786,0.855072463768116
InnerMono,0.5905511811023622,43.5,0.149,0.53,49.5,67.5,3670.0,0.2716535433070866,1.0,0.5000000000000001,0.7844827586206897,0.7413793103448276,0.7071464267866067
CLARE,0.5742461584109756,21.6,0.344,0.72,28.4,46.0,4249.0,0.702755905511811,0.22310756972111573,0.796875,0.1781609195402299,0.0,0.4177911044477761
SayCan,0.5443630661082705,38.5,0.283,0.72,57.0,72.6,4682.0,0.37007874015748027,0.4661354581673309,0.796875,1.0,0.9172413793103447,0.2013993003498251
AgentEvolver,0.4306108897742364,19.2,0.264,0.21,48.8,66.8,3084.0,0.7499999999999999,0.5418326693227092,0.0,0.764367816091954,0.7172413793103447,1.0
CycleVLA,0.40866961942257213,35.5,0.4,0.72,22.2,47.5,4688.0,0.4291338582677165,0.0,0.796875,0.0,0.05172413793103448,0.1984007996001999
SMART-LLM,0.3709125113718355,28.2,0.339,0.4,55.7,74.3,5085.0,0.5728346456692913,0.24302788844621515,0.29687500000000006,0.9626436781609197,0.9758620689655172,0.0
Reflexion,0.3685051460823374,57.3,0.299,0.66,56.3,75.0,4390.0,0.0,0.4023904382470121,0.7031250000000001,0.9798850574712643,1.0,0.3473263368315842
