instruction_task_family,stress_lambda,mean_risk,mean_margin,mean_completion,success_rate,boundary_rate,hard_boundary_rate,cliff_rate,mean_lambda,valid_margin_rate,n_rows,n_episodes,sources,low_support,panel,perturbation_group
Collaborative Household,0.0,0.3859184823675521,-0.26595769862989943,0.6189655172413793,0.4482758620689655,0.13793103448275862,0.3448275862068966,0.4,0.0,0.13793103448275862,29,3,Exp0425_rebound_perturbations;Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0428_stability_perturbations;Exp0430_GE_formal;discovered:ge_capacity_validity;discovered:rebound_validity,False,task_family_by_lambda,
Collaborative Household,0.2,0.5364211821581659,-0.609929727239746,0.7285714285714285,0.5714285714285714,0.5714285714285714,1.0,0.5714285714285714,0.2,0.5714285714285714,7,3,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Collaborative Household,0.4,0.4482697969389462,-0.702792820125136,0.7857142857142857,0.7142857142857143,0.42857142857142855,1.0,0.5714285714285714,0.4,0.5714285714285714,7,3,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Collaborative Household,0.6,0.6656479038842826,-0.6661996855581301,0.5857142857142856,0.2857142857142857,0.5714285714285714,1.0,0.5714285714285714,0.6,0.5714285714285714,7,3,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Collaborative Household,0.8,0.5181591479518174,-0.637866364837061,0.719047619047619,0.42857142857142855,0.5714285714285714,1.0,0.5714285714285714,0.8,0.5714285714285714,7,3,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Collaborative Household,1.0,0.5858181769884611,-0.723200983390442,0.6142857142857142,0.42857142857142855,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714,7,3,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Multi-room Rearrangement,0.0,0.3212911081039317,-0.32198986035876387,0.6617647058823529,0.6470588235294118,0.08823529411764706,0.38235294117647056,0.23076923076923078,0.0,0.08823529411764706,34,6,Exp0425_rebound_perturbations;Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0428_stability_perturbations;Exp0430_GE_formal;discovered:rebound_validity,False,task_family_by_lambda,
Multi-room Rearrangement,0.2,0.19773025598991212,-0.5886046953637178,0.875,0.875,0.0,0.625,0.375,0.2,0.375,8,5,Exp0428_GE_supplement;Exp0430_GE_formal,False,task_family_by_lambda,
Multi-room Rearrangement,0.4,0.31242050737706334,-0.542670130268214,0.75,0.75,0.0,0.625,0.375,0.4,0.375,8,5,Exp0428_GE_supplement;Exp0430_GE_formal,False,task_family_by_lambda,
Multi-room Rearrangement,0.6,0.3985281223485574,-0.6838414093306109,0.8125,0.75,0.375,1.0,0.375,0.6,0.375,8,5,Exp0428_GE_supplement;Exp0430_GE_formal,False,task_family_by_lambda,
Multi-room Rearrangement,0.8,0.3045640788267275,-0.6242074113277837,0.75,0.75,0.0,0.625,0.375,0.8,0.375,8,5,Exp0428_GE_supplement;Exp0430_GE_formal,False,task_family_by_lambda,
Multi-room Rearrangement,1.0,0.23661578720833457,-0.5670715240384844,0.875,0.875,0.0,0.625,0.375,1.0,0.375,8,5,Exp0428_GE_supplement;Exp0430_GE_formal,False,task_family_by_lambda,
Navigation,0.0,0.12685443982613856,-0.13158259919281345,0.9375,0.9375,0.0625,0.3125,0.2,0.0,0.1875,16,1,Exp0425_rebound_perturbations;Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0428_stability_perturbations;Exp0430_GE_formal;discovered:ge_capacity_validity;discovered:rebound_validity,False,task_family_by_lambda,
Navigation,0.2,0.22299081094720408,-0.29139061989025056,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.20000000000000004,0.6666666666666666,3,1,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Navigation,0.4,0.1900142246250802,-0.22704876692639178,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.4000000000000001,0.6666666666666666,3,1,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Navigation,0.6,0.29572099348863046,-0.352534348315189,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.6,0.6666666666666666,3,1,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Navigation,0.8,0.3317106078054817,-0.30746619074009646,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.8000000000000002,0.6666666666666666,3,1,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Navigation,1.0,0.20612784713972063,-0.25942932031993554,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,3,1,Exp0428_GE_supplement;Exp0430_GE_formal;discovered:ge_capacity_validity,False,task_family_by_lambda,
Object Transport,0.0,0.16222162501678233,-0.2562155739684897,0.9078616352201258,0.7735849056603774,0.09433962264150944,0.32075471698113206,0.29411764705882354,0.0,0.09433962264150944,53,6,Exp0425_rebound_perturbations;Exp0425_stability_perturbations;Exp0428_GE_supplement;Exp0428_rebound_perturbations;Exp0428_stability_perturbations;Exp0430_GE_formal;discovered:rebound_validity,False,task_family_by_lambda,
